slika;niti;zagon;cas_s
valve.png;1;1;0.071781
valve.png;1;2;0.071870
valve.png;1;3;0.071808
valve.png;1;4;0.073065
valve.png;1;5;0.072347
../test_images/720x480.png;1;1;0.095174
../test_images/720x480.png;1;2;0.098185
../test_images/720x480.png;1;3;0.098359
../test_images/720x480.png;1;4;0.095232
../test_images/720x480.png;1;5;0.094558
../test_images/1024x768.png;1;1;0.212610
../test_images/1024x768.png;1;2;0.214051
../test_images/1024x768.png;1;3;0.212003
../test_images/1024x768.png;1;4;0.213666
../test_images/1024x768.png;1;5;0.211875
../test_images/1920x1200.png;1;1;0.679397
../test_images/1920x1200.png;1;2;0.683574
../test_images/1920x1200.png;1;3;0.676356
../test_images/1920x1200.png;1;4;0.677058
../test_images/1920x1200.png;1;5;0.686194
../test_images/3840x2160.png;1;1;2.537380
../test_images/3840x2160.png;1;2;2.514950
../test_images/3840x2160.png;1;3;2.533606
../test_images/3840x2160.png;1;4;2.548685
../test_images/3840x2160.png;1;5;2.545981
../test_images/7680x4320.png;1;1;9.945493
../test_images/7680x4320.png;1;2;9.940598
../test_images/7680x4320.png;1;3;9.876038
../test_images/7680x4320.png;1;4;9.981429
../test_images/7680x4320.png;1;5;9.938952
