slika;niti;zagon;cas_s
valve.png;4;1;0.135727
valve.png;4;2;0.137685
valve.png;4;3;0.136614
valve.png;4;4;0.137388
valve.png;4;5;0.136329
../test_images/720x480.png;4;1;0.174219
../test_images/720x480.png;4;2;0.181755
../test_images/720x480.png;4;3;0.174703
../test_images/720x480.png;4;4;0.176932
../test_images/720x480.png;4;5;0.175127
../test_images/1024x768.png;4;1;0.409719
../test_images/1024x768.png;4;2;0.411839
../test_images/1024x768.png;4;3;0.410095
../test_images/1024x768.png;4;4;0.416980
../test_images/1024x768.png;4;5;0.410809
../test_images/1920x1200.png;4;1;1.240183
../test_images/1920x1200.png;4;2;1.238994
../test_images/1920x1200.png;4;3;1.239079
../test_images/1920x1200.png;4;4;1.323320
../test_images/1920x1200.png;4;5;1.244530
../test_images/3840x2160.png;4;1;4.772425
../test_images/3840x2160.png;4;2;4.908001
../test_images/3840x2160.png;4;3;4.692597
../test_images/3840x2160.png;4;4;4.825365
../test_images/3840x2160.png;4;5;4.772993
../test_images/7680x4320.png;4;1;18.921288
../test_images/7680x4320.png;4;2;19.187761
../test_images/7680x4320.png;4;3;19.148676
../test_images/7680x4320.png;4;4;19.496912
../test_images/7680x4320.png;4;5;19.633789
