slika;niti;zagon;cas_s
valve.png;1;1;0.484624
valve.png;1;2;0.482306
valve.png;1;3;0.493301
valve.png;1;4;0.479208
valve.png;1;5;0.479418
../test_images/720x480.png;1;1;0.623450
../test_images/720x480.png;1;2;0.622401
../test_images/720x480.png;1;3;0.622850
../test_images/720x480.png;1;4;0.624351
../test_images/720x480.png;1;5;0.621530
../test_images/1024x768.png;1;1;1.477381
../test_images/1024x768.png;1;2;1.472675
../test_images/1024x768.png;1;3;1.472788
../test_images/1024x768.png;1;4;1.476878
../test_images/1024x768.png;1;5;1.477769
../test_images/1920x1200.png;1;1;4.682175
../test_images/1920x1200.png;1;2;4.672345
../test_images/1920x1200.png;1;3;4.673563
../test_images/1920x1200.png;1;4;4.677643
../test_images/1920x1200.png;1;5;4.663961
../test_images/3840x2160.png;1;1;17.899782
../test_images/3840x2160.png;1;2;17.408277
../test_images/3840x2160.png;1;3;17.726823
../test_images/3840x2160.png;1;4;17.372230
../test_images/3840x2160.png;1;5;17.406594
../test_images/7680x4320.png;1;1;71.481702
../test_images/7680x4320.png;1;2;71.632525
../test_images/7680x4320.png;1;3;71.726857
../test_images/7680x4320.png;1;4;70.858380
../test_images/7680x4320.png;1;5;72.269067
