slika;niti;zagon;cas_s
valve.png;2;1;0.252438
valve.png;2;2;0.252932
valve.png;2;3;0.252097
valve.png;2;4;0.252023
valve.png;2;5;0.250512
../test_images/720x480.png;2;1;0.323545
../test_images/720x480.png;2;2;0.321753
../test_images/720x480.png;2;3;0.323494
../test_images/720x480.png;2;4;0.321692
../test_images/720x480.png;2;5;0.324129
../test_images/1024x768.png;2;1;0.770667
../test_images/1024x768.png;2;2;0.772514
../test_images/1024x768.png;2;3;0.772397
../test_images/1024x768.png;2;4;0.771792
../test_images/1024x768.png;2;5;0.771738
../test_images/1920x1200.png;2;1;2.352344
../test_images/1920x1200.png;2;2;2.357033
../test_images/1920x1200.png;2;3;2.377252
../test_images/1920x1200.png;2;4;2.347959
../test_images/1920x1200.png;2;5;2.349618
../test_images/3840x2160.png;2;1;8.854890
../test_images/3840x2160.png;2;2;8.842982
../test_images/3840x2160.png;2;3;8.950393
../test_images/3840x2160.png;2;4;8.827160
../test_images/3840x2160.png;2;5;8.798960
../test_images/7680x4320.png;2;1;35.673534
../test_images/7680x4320.png;2;2;35.735600
../test_images/7680x4320.png;2;3;35.508192
../test_images/7680x4320.png;2;4;37.271323
../test_images/7680x4320.png;2;5;35.349947
