slika;niti;zagon;cas_s
valve.png;8;1;0.103787
valve.png;8;2;0.102690
valve.png;8;3;0.103444
valve.png;8;4;0.104879
valve.png;8;5;0.105465
../test_images/720x480.png;8;1;0.125721
../test_images/720x480.png;8;2;0.130867
../test_images/720x480.png;8;3;0.125219
../test_images/720x480.png;8;4;0.125675
../test_images/720x480.png;8;5;0.125978
../test_images/1024x768.png;8;1;0.285037
../test_images/1024x768.png;8;2;0.285753
../test_images/1024x768.png;8;3;0.283894
../test_images/1024x768.png;8;4;0.329336
../test_images/1024x768.png;8;5;0.286075
../test_images/1920x1200.png;8;1;0.813657
../test_images/1920x1200.png;8;2;0.812237
../test_images/1920x1200.png;8;3;0.809881
../test_images/1920x1200.png;8;4;0.813050
../test_images/1920x1200.png;8;5;0.852579
../test_images/3840x2160.png;8;1;2.953932
../test_images/3840x2160.png;8;2;2.983986
../test_images/3840x2160.png;8;3;2.916494
../test_images/3840x2160.png;8;4;2.989349
../test_images/3840x2160.png;8;5;2.933145
../test_images/7680x4320.png;8;1;11.408054
../test_images/7680x4320.png;8;2;11.236059
../test_images/7680x4320.png;8;3;11.049095
../test_images/7680x4320.png;8;4;11.361973
../test_images/7680x4320.png;8;5;11.456667
