slika;niti;zagon;cas_s
valve.png;16;1;0.077225
valve.png;16;2;0.078094
valve.png;16;3;0.076861
valve.png;16;4;0.077975
valve.png;16;5;0.076777
../test_images/720x480.png;16;1;0.088505
../test_images/720x480.png;16;2;0.088931
../test_images/720x480.png;16;3;0.090409
../test_images/720x480.png;16;4;0.086805
../test_images/720x480.png;16;5;0.088206
../test_images/1024x768.png;16;1;0.183413
../test_images/1024x768.png;16;2;0.182150
../test_images/1024x768.png;16;3;0.181773
../test_images/1024x768.png;16;4;0.183355
../test_images/1024x768.png;16;5;0.190138
../test_images/1920x1200.png;16;1;0.490978
../test_images/1920x1200.png;16;2;0.487179
../test_images/1920x1200.png;16;3;0.491138
../test_images/1920x1200.png;16;4;0.489070
../test_images/1920x1200.png;16;5;0.488976
../test_images/3840x2160.png;16;1;2.164257
../test_images/3840x2160.png;16;2;2.140650
../test_images/3840x2160.png;16;3;2.134197
../test_images/3840x2160.png;16;4;2.267217
../test_images/3840x2160.png;16;5;2.210121
../test_images/7680x4320.png;16;1;7.063434
../test_images/7680x4320.png;16;2;7.242119
../test_images/7680x4320.png;16;3;7.116561
../test_images/7680x4320.png;16;4;7.154273
../test_images/7680x4320.png;16;5;7.123486
