slika;niti;zagon;cas_s
valve.png;2;1;0.250765
valve.png;2;2;0.250746
valve.png;2;3;0.250470
valve.png;2;4;0.251564
valve.png;2;5;0.249176
../test_images/720x480.png;2;1;0.323192
../test_images/720x480.png;2;2;0.323070
../test_images/720x480.png;2;3;0.323915
../test_images/720x480.png;2;4;0.322292
../test_images/720x480.png;2;5;0.324121
../test_images/1024x768.png;2;1;0.754934
../test_images/1024x768.png;2;2;0.759027
../test_images/1024x768.png;2;3;0.760022
../test_images/1024x768.png;2;4;0.759259
../test_images/1024x768.png;2;5;0.759724
../test_images/1920x1200.png;2;1;2.382987
../test_images/1920x1200.png;2;2;2.382010
../test_images/1920x1200.png;2;3;2.380753
../test_images/1920x1200.png;2;4;2.447282
../test_images/1920x1200.png;2;5;2.387607
../test_images/3840x2160.png;2;1;9.379375
../test_images/3840x2160.png;2;2;9.339622
../test_images/3840x2160.png;2;3;9.103400
../test_images/3840x2160.png;2;4;9.190865
../test_images/3840x2160.png;2;5;9.168893
../test_images/7680x4320.png;2;1;37.201975
../test_images/7680x4320.png;2;2;37.534832
../test_images/7680x4320.png;2;3;35.575239
../test_images/7680x4320.png;2;4;35.569566
../test_images/7680x4320.png;2;5;35.977810
