slika;niti;zagon;cas_s
valve.png;8;1;0.093419
valve.png;8;2;0.095074
valve.png;8;3;0.093577
valve.png;8;4;0.093124
valve.png;8;5;0.092281
../test_images/720x480.png;8;1;0.112553
../test_images/720x480.png;8;2;0.112325
../test_images/720x480.png;8;3;0.112307
../test_images/720x480.png;8;4;0.112562
../test_images/720x480.png;8;5;0.113864
../test_images/1024x768.png;8;1;0.255329
../test_images/1024x768.png;8;2;0.249151
../test_images/1024x768.png;8;3;0.249875
../test_images/1024x768.png;8;4;0.252763
../test_images/1024x768.png;8;5;0.249750
../test_images/1920x1200.png;8;1;0.686359
../test_images/1920x1200.png;8;2;0.686435
../test_images/1920x1200.png;8;3;0.687121
../test_images/1920x1200.png;8;4;0.687815
../test_images/1920x1200.png;8;5;0.686889
../test_images/3840x2160.png;8;1;2.643942
../test_images/3840x2160.png;8;2;2.665374
../test_images/3840x2160.png;8;3;2.651234
../test_images/3840x2160.png;8;4;2.691589
../test_images/3840x2160.png;8;5;2.662161
../test_images/7680x4320.png;8;1;10.008529
../test_images/7680x4320.png;8;2;9.992612
../test_images/7680x4320.png;8;3;10.102932
../test_images/7680x4320.png;8;4;10.249082
../test_images/7680x4320.png;8;5;10.230277
