slika;niti;zagon;cas_s
valve.png;4;1;0.132349
valve.png;4;2;0.130757
valve.png;4;3;0.132013
valve.png;4;4;0.132741
valve.png;4;5;0.132318
../test_images/720x480.png;4;1;0.167357
../test_images/720x480.png;4;2;0.167980
../test_images/720x480.png;4;3;0.167661
../test_images/720x480.png;4;4;0.167990
../test_images/720x480.png;4;5;0.168549
../test_images/1024x768.png;4;1;0.393559
../test_images/1024x768.png;4;2;0.394034
../test_images/1024x768.png;4;3;0.394056
../test_images/1024x768.png;4;4;0.392898
../test_images/1024x768.png;4;5;0.394150
../test_images/1920x1200.png;4;1;1.259782
../test_images/1920x1200.png;4;2;1.260388
../test_images/1920x1200.png;4;3;1.249640
../test_images/1920x1200.png;4;4;1.236521
../test_images/1920x1200.png;4;5;1.241426
../test_images/3840x2160.png;4;1;4.743578
../test_images/3840x2160.png;4;2;4.894383
../test_images/3840x2160.png;4;3;4.902244
../test_images/3840x2160.png;4;4;4.908735
../test_images/3840x2160.png;4;5;4.810063
../test_images/7680x4320.png;4;1;18.485367
../test_images/7680x4320.png;4;2;18.394820
../test_images/7680x4320.png;4;3;18.660329
../test_images/7680x4320.png;4;4;18.382638
../test_images/7680x4320.png;4;5;18.526111
