slika;niti;zagon;cas_s
valve.png;1;1;0.486410
valve.png;1;2;0.484284
valve.png;1;3;0.486821
valve.png;1;4;0.486089
valve.png;1;5;0.484041
../test_images/720x480.png;1;1;0.629924
../test_images/720x480.png;1;2;0.630252
../test_images/720x480.png;1;3;0.630928
../test_images/720x480.png;1;4;0.631515
../test_images/720x480.png;1;5;0.628779
../test_images/1024x768.png;1;1;1.487134
../test_images/1024x768.png;1;2;1.486916
../test_images/1024x768.png;1;3;1.488236
../test_images/1024x768.png;1;4;1.487931
../test_images/1024x768.png;1;5;1.507353
../test_images/1920x1200.png;1;1;4.684286
../test_images/1920x1200.png;1;2;4.686652
../test_images/1920x1200.png;1;3;4.690287
../test_images/1920x1200.png;1;4;4.744727
../test_images/1920x1200.png;1;5;4.681925
../test_images/3840x2160.png;1;1;17.590922
../test_images/3840x2160.png;1;2;17.481516
../test_images/3840x2160.png;1;3;17.499225
../test_images/3840x2160.png;1;4;17.518480
../test_images/3840x2160.png;1;5;17.494889
../test_images/7680x4320.png;1;1;69.904355
../test_images/7680x4320.png;1;2;71.861595
../test_images/7680x4320.png;1;3;73.301900
../test_images/7680x4320.png;1;4;70.167186
../test_images/7680x4320.png;1;5;71.782850
