slika;niti;zagon;cas_s
valve.png;8;1;0.018469
valve.png;8;2;0.018272
valve.png;8;3;0.018519
valve.png;8;4;0.018561
valve.png;8;5;0.018667
../test_images/720x480.png;8;1;0.021584
../test_images/720x480.png;8;2;0.021563
../test_images/720x480.png;8;3;0.021334
../test_images/720x480.png;8;4;0.021939
../test_images/720x480.png;8;5;0.021710
../test_images/1024x768.png;8;1;0.048808
../test_images/1024x768.png;8;2;0.047365
../test_images/1024x768.png;8;3;0.047466
../test_images/1024x768.png;8;4;0.048029
../test_images/1024x768.png;8;5;0.048502
../test_images/1920x1200.png;8;1;0.122697
../test_images/1920x1200.png;8;2;0.123880
../test_images/1920x1200.png;8;3;0.125454
../test_images/1920x1200.png;8;4;0.124190
../test_images/1920x1200.png;8;5;0.124365
../test_images/3840x2160.png;8;1;0.422825
../test_images/3840x2160.png;8;2;0.422807
../test_images/3840x2160.png;8;3;0.423347
../test_images/3840x2160.png;8;4;0.421505
../test_images/3840x2160.png;8;5;0.422764
../test_images/7680x4320.png;8;1;1.591348
../test_images/7680x4320.png;8;2;1.583518
../test_images/7680x4320.png;8;3;1.591516
../test_images/7680x4320.png;8;4;1.592162
../test_images/7680x4320.png;8;5;1.594280
