slika;niti;zagon;cas_s
valve.png;2;1;0.038570
valve.png;2;2;0.038966
valve.png;2;3;0.039405
valve.png;2;4;0.038779
valve.png;2;5;0.039169
../test_images/720x480.png;2;1;0.051469
../test_images/720x480.png;2;2;0.051543
../test_images/720x480.png;2;3;0.051782
../test_images/720x480.png;2;4;0.051378
../test_images/720x480.png;2;5;0.050957
../test_images/1024x768.png;2;1;0.112422
../test_images/1024x768.png;2;2;0.111144
../test_images/1024x768.png;2;3;0.111696
../test_images/1024x768.png;2;4;0.111649
../test_images/1024x768.png;2;5;0.111046
../test_images/1920x1200.png;2;1;0.341166
../test_images/1920x1200.png;2;2;0.345274
../test_images/1920x1200.png;2;3;0.347199
../test_images/1920x1200.png;2;4;0.346622
../test_images/1920x1200.png;2;5;0.347655
../test_images/3840x2160.png;2;1;1.296741
../test_images/3840x2160.png;2;2;1.286640
../test_images/3840x2160.png;2;3;1.303229
../test_images/3840x2160.png;2;4;1.293522
../test_images/3840x2160.png;2;5;1.294323
../test_images/7680x4320.png;2;1;5.060346
../test_images/7680x4320.png;2;2;5.062404
../test_images/7680x4320.png;2;3;5.078605
../test_images/7680x4320.png;2;4;5.056662
../test_images/7680x4320.png;2;5;5.053935
