slika;niti;zagon;cas_s
valve.png;32;1;0.014985
valve.png;32;2;0.014399
valve.png;32;3;0.014493
valve.png;32;4;0.014894
valve.png;32;5;0.014496
../test_images/720x480.png;32;1;0.015393
../test_images/720x480.png;32;2;0.015248
../test_images/720x480.png;32;3;0.015105
../test_images/720x480.png;32;4;0.015241
../test_images/720x480.png;32;5;0.015400
../test_images/1024x768.png;32;1;0.031164
../test_images/1024x768.png;32;2;0.032100
../test_images/1024x768.png;32;3;0.030833
../test_images/1024x768.png;32;4;0.030625
../test_images/1024x768.png;32;5;0.031393
../test_images/1920x1200.png;32;1;0.062850
../test_images/1920x1200.png;32;2;0.080718
../test_images/1920x1200.png;32;3;0.078819
../test_images/1920x1200.png;32;4;0.078088
../test_images/1920x1200.png;32;5;0.064607
../test_images/3840x2160.png;32;1;0.210171
../test_images/3840x2160.png;32;2;0.203699
../test_images/3840x2160.png;32;3;0.199113
../test_images/3840x2160.png;32;4;0.204874
../test_images/3840x2160.png;32;5;0.214184
../test_images/7680x4320.png;32;1;0.659627
../test_images/7680x4320.png;32;2;0.699100
../test_images/7680x4320.png;32;3;0.659368
../test_images/7680x4320.png;32;4;0.660459
../test_images/7680x4320.png;32;5;0.697425
