slika;niti;zagon;cas_s
valve.png;32;1;0.062196
valve.png;32;2;0.063904
valve.png;32;3;0.072137
valve.png;32;4;0.062441
valve.png;32;5;0.066680
../test_images/720x480.png;32;1;0.078865
../test_images/720x480.png;32;2;0.078762
../test_images/720x480.png;32;3;0.078848
../test_images/720x480.png;32;4;0.082595
../test_images/720x480.png;32;5;0.077871
../test_images/1024x768.png;32;1;0.158384
../test_images/1024x768.png;32;2;0.152977
../test_images/1024x768.png;32;3;0.156017
../test_images/1024x768.png;32;4;0.156476
../test_images/1024x768.png;32;5;0.153554
../test_images/1920x1200.png;32;1;0.446469
../test_images/1920x1200.png;32;2;0.445177
../test_images/1920x1200.png;32;3;0.446971
../test_images/1920x1200.png;32;4;0.456613
../test_images/1920x1200.png;32;5;0.456848
../test_images/3840x2160.png;32;1;1.467115
../test_images/3840x2160.png;32;2;1.467166
../test_images/3840x2160.png;32;3;1.488387
../test_images/3840x2160.png;32;4;1.465672
../test_images/3840x2160.png;32;5;1.458097
../test_images/7680x4320.png;32;1;5.593344
../test_images/7680x4320.png;32;2;5.599485
../test_images/7680x4320.png;32;3;5.606633
../test_images/7680x4320.png;32;4;5.584156
../test_images/7680x4320.png;32;5;5.634334
