slika;niti;zagon;cas_s
valve.png;8;1;0.105735
valve.png;8;2;0.104008
valve.png;8;3;0.105183
valve.png;8;4;0.105419
valve.png;8;5;0.103557
../test_images/720x480.png;8;1;0.131423
../test_images/720x480.png;8;2;0.131259
../test_images/720x480.png;8;3;0.130703
../test_images/720x480.png;8;4;0.130877
../test_images/720x480.png;8;5;0.133990
../test_images/1024x768.png;8;1;0.296907
../test_images/1024x768.png;8;2;0.296408
../test_images/1024x768.png;8;3;0.295384
../test_images/1024x768.png;8;4;0.297316
../test_images/1024x768.png;8;5;0.295142
../test_images/1920x1200.png;8;1;0.888461
../test_images/1920x1200.png;8;2;0.887988
../test_images/1920x1200.png;8;3;0.877924
../test_images/1920x1200.png;8;4;0.890874
../test_images/1920x1200.png;8;5;0.891003
../test_images/3840x2160.png;8;1;2.918143
../test_images/3840x2160.png;8;2;2.916700
../test_images/3840x2160.png;8;3;2.928473
../test_images/3840x2160.png;8;4;2.921853
../test_images/3840x2160.png;8;5;2.932528
../test_images/7680x4320.png;8;1;11.577479
../test_images/7680x4320.png;8;2;11.733037
../test_images/7680x4320.png;8;3;11.726680
../test_images/7680x4320.png;8;4;11.733860
../test_images/7680x4320.png;8;5;11.668999
