slika;niti;zagon;cas_s
valve.png;2;1;0.252088
valve.png;2;2;0.250709
valve.png;2;3;0.251054
valve.png;2;4;0.253343
valve.png;2;5;0.252590
../test_images/720x480.png;2;1;0.326312
../test_images/720x480.png;2;2;0.326853
../test_images/720x480.png;2;3;0.327395
../test_images/720x480.png;2;4;0.325573
../test_images/720x480.png;2;5;0.326783
../test_images/1024x768.png;2;1;0.771110
../test_images/1024x768.png;2;2;0.771397
../test_images/1024x768.png;2;3;0.771671
../test_images/1024x768.png;2;4;0.771563
../test_images/1024x768.png;2;5;0.771901
../test_images/1920x1200.png;2;1;2.359903
../test_images/1920x1200.png;2;2;2.366971
../test_images/1920x1200.png;2;3;2.354160
../test_images/1920x1200.png;2;4;2.378518
../test_images/1920x1200.png;2;5;2.357057
../test_images/3840x2160.png;2;1;8.816424
../test_images/3840x2160.png;2;2;8.743159
../test_images/3840x2160.png;2;3;8.748980
../test_images/3840x2160.png;2;4;8.675928
../test_images/3840x2160.png;2;5;8.671147
../test_images/7680x4320.png;2;1;36.952189
../test_images/7680x4320.png;2;2;34.564627
../test_images/7680x4320.png;2;3;37.066524
../test_images/7680x4320.png;2;4;34.822670
../test_images/7680x4320.png;2;5;34.991213
