slika;niti;zagon;cas_s
valve.png;4;1;0.139867
valve.png;4;2;0.139815
valve.png;4;3;0.140023
valve.png;4;4;0.141621
valve.png;4;5;0.141473
../test_images/720x480.png;4;1;0.181256
../test_images/720x480.png;4;2;0.180867
../test_images/720x480.png;4;3;0.180980
../test_images/720x480.png;4;4;0.181039
../test_images/720x480.png;4;5;0.181394
../test_images/1024x768.png;4;1;0.425382
../test_images/1024x768.png;4;2;0.425844
../test_images/1024x768.png;4;3;0.425647
../test_images/1024x768.png;4;4;0.423273
../test_images/1024x768.png;4;5;0.424948
../test_images/1920x1200.png;4;1;1.311789
../test_images/1920x1200.png;4;2;1.311742
../test_images/1920x1200.png;4;3;1.316774
../test_images/1920x1200.png;4;4;1.313702
../test_images/1920x1200.png;4;5;1.309835
../test_images/3840x2160.png;4;1;4.865193
../test_images/3840x2160.png;4;2;4.868346
../test_images/3840x2160.png;4;3;4.878522
../test_images/3840x2160.png;4;4;4.869575
../test_images/3840x2160.png;4;5;4.862006
../test_images/7680x4320.png;4;1;19.318260
../test_images/7680x4320.png;4;2;19.439329
../test_images/7680x4320.png;4;3;19.521680
../test_images/7680x4320.png;4;4;19.552068
../test_images/7680x4320.png;4;5;19.535413
