slika;niti;zagon;cas_s
valve.png;8;1;0.237330
valve.png;8;2;0.242880
valve.png;8;3;0.241346
valve.png;8;4;0.233265
valve.png;8;5;0.236279
../test_images/720x480.png;8;1;0.265798
../test_images/720x480.png;8;2;0.265794
../test_images/720x480.png;8;3;0.275320
../test_images/720x480.png;8;4;0.277708
../test_images/720x480.png;8;5;0.274698
../test_images/1024x768.png;8;1;0.521713
../test_images/1024x768.png;8;2;0.518769
../test_images/1024x768.png;8;3;0.522017
../test_images/1024x768.png;8;4;0.510045
../test_images/1024x768.png;8;5;0.517476
../test_images/1920x1200.png;8;1;1.172415
../test_images/1920x1200.png;8;2;1.164782
../test_images/1920x1200.png;8;3;1.170078
../test_images/1920x1200.png;8;4;1.168384
../test_images/1920x1200.png;8;5;1.170723
../test_images/3840x2160.png;8;1;3.275549
../test_images/3840x2160.png;8;2;3.272043
../test_images/3840x2160.png;8;3;3.284868
../test_images/3840x2160.png;8;4;3.273207
../test_images/3840x2160.png;8;5;3.276037
../test_images/7680x4320.png;8;1;11.136274
../test_images/7680x4320.png;8;2;11.105317
../test_images/7680x4320.png;8;3;11.194337
../test_images/7680x4320.png;8;4;11.129317
../test_images/7680x4320.png;8;5;11.053028
