slika;niti;zagon;cas_s
valve.png;32;1;0.430269
valve.png;32;2;0.428078
valve.png;32;3;0.426359
valve.png;32;4;0.444369
valve.png;32;5;0.427663
../test_images/720x480.png;32;1;0.464771
../test_images/720x480.png;32;2;0.459584
../test_images/720x480.png;32;3;0.456738
../test_images/720x480.png;32;4;0.461819
../test_images/720x480.png;32;5;0.465606
../test_images/1024x768.png;32;1;0.750998
../test_images/1024x768.png;32;2;0.755936
../test_images/1024x768.png;32;3;0.760664
../test_images/1024x768.png;32;4;0.760534
../test_images/1024x768.png;32;5;0.756323
../test_images/1920x1200.png;32;1;1.318692
../test_images/1920x1200.png;32;2;1.331906
../test_images/1920x1200.png;32;3;1.321773
../test_images/1920x1200.png;32;4;1.295239
../test_images/1920x1200.png;32;5;1.315676
../test_images/3840x2160.png;32;1;2.679617
../test_images/3840x2160.png;32;2;2.704552
../test_images/3840x2160.png;32;3;2.712973
../test_images/3840x2160.png;32;4;2.709252
../test_images/3840x2160.png;32;5;2.687253
../test_images/7680x4320.png;32;1;7.358624
../test_images/7680x4320.png;32;2;7.399329
../test_images/7680x4320.png;32;3;7.664085
../test_images/7680x4320.png;32;4;7.402104
../test_images/7680x4320.png;32;5;7.251649
