slika;niti;zagon;cas_s
valve.png;4;1;0.176097
valve.png;4;2;0.175707
valve.png;4;3;0.176190
valve.png;4;4;0.175590
valve.png;4;5;0.175275
../test_images/720x480.png;4;1;0.213689
../test_images/720x480.png;4;2;0.217911
../test_images/720x480.png;4;3;0.216725
../test_images/720x480.png;4;4;0.215608
../test_images/720x480.png;4;5;0.213342
../test_images/1024x768.png;4;1;0.465715
../test_images/1024x768.png;4;2;0.464888
../test_images/1024x768.png;4;3;0.463777
../test_images/1024x768.png;4;4;0.464160
../test_images/1024x768.png;4;5;0.470398
../test_images/1920x1200.png;4;1;1.299140
../test_images/1920x1200.png;4;2;1.367930
../test_images/1920x1200.png;4;3;1.301862
../test_images/1920x1200.png;4;4;1.304173
../test_images/1920x1200.png;4;5;1.299547
../test_images/3840x2160.png;4;1;4.691872
../test_images/3840x2160.png;4;2;4.878425
../test_images/3840x2160.png;4;3;4.903551
../test_images/3840x2160.png;4;4;4.729639
../test_images/3840x2160.png;4;5;4.692486
../test_images/7680x4320.png;4;1;18.553467
../test_images/7680x4320.png;4;2;18.570683
../test_images/7680x4320.png;4;3;18.405504
../test_images/7680x4320.png;4;4;18.293710
../test_images/7680x4320.png;4;5;18.695834
