slika;niti;zagon;cas_s
valve.png;1;1;0.499392
valve.png;1;2;0.501382
valve.png;1;3;0.501334
valve.png;1;4;0.503253
valve.png;1;5;0.501515
../test_images/720x480.png;1;1;0.645926
../test_images/720x480.png;1;2;0.646663
../test_images/720x480.png;1;3;0.648856
../test_images/720x480.png;1;4;0.646879
../test_images/720x480.png;1;5;0.649927
../test_images/1024x768.png;1;1;1.510124
../test_images/1024x768.png;1;2;1.522531
../test_images/1024x768.png;1;3;1.543619
../test_images/1024x768.png;1;4;1.504367
../test_images/1024x768.png;1;5;1.505857
../test_images/1920x1200.png;1;1;4.527421
../test_images/1920x1200.png;1;2;4.512490
../test_images/1920x1200.png;1;3;4.581587
../test_images/1920x1200.png;1;4;4.535112
../test_images/1920x1200.png;1;5;4.546984
../test_images/3840x2160.png;1;1;17.374391
../test_images/3840x2160.png;1;2;16.568060
../test_images/3840x2160.png;1;3;17.501358
../test_images/3840x2160.png;1;4;16.480485
../test_images/3840x2160.png;1;5;16.451596
../test_images/7680x4320.png;1;1;70.129268
../test_images/7680x4320.png;1;2;66.397483
../test_images/7680x4320.png;1;3;67.584572
../test_images/7680x4320.png;1;4;65.569080
../test_images/7680x4320.png;1;5;71.068446
