slika;niti;zagon;cas_s
valve.png;16;1;0.309047
valve.png;16;2;0.310028
valve.png;16;3;0.310858
valve.png;16;4;0.308211
valve.png;16;5;0.304848
../test_images/720x480.png;16;1;0.326200
../test_images/720x480.png;16;2;0.340676
../test_images/720x480.png;16;3;0.335992
../test_images/720x480.png;16;4;0.334787
../test_images/720x480.png;16;5;0.328112
../test_images/1024x768.png;16;1;0.592830
../test_images/1024x768.png;16;2;0.595024
../test_images/1024x768.png;16;3;0.576531
../test_images/1024x768.png;16;4;0.593713
../test_images/1024x768.png;16;5;0.582020
../test_images/1920x1200.png;16;1;1.113119
../test_images/1920x1200.png;16;2;1.123500
../test_images/1920x1200.png;16;3;1.113337
../test_images/1920x1200.png;16;4;1.116213
../test_images/1920x1200.png;16;5;1.111985
../test_images/3840x2160.png;16;1;2.814150
../test_images/3840x2160.png;16;2;2.829539
../test_images/3840x2160.png;16;3;2.888222
../test_images/3840x2160.png;16;4;2.870633
../test_images/3840x2160.png;16;5;2.824436
../test_images/7680x4320.png;16;1;7.953707
../test_images/7680x4320.png;16;2;8.083177
../test_images/7680x4320.png;16;3;8.078731
../test_images/7680x4320.png;16;4;7.963454
../test_images/7680x4320.png;16;5;7.926213
