slika;niti;zagon;cas_s
valve.png;16;1;0.014818
valve.png;16;2;0.016344
valve.png;16;3;0.014942
valve.png;16;4;0.016317
valve.png;16;5;0.014739
../test_images/720x480.png;16;1;0.016012
../test_images/720x480.png;16;2;0.017371
../test_images/720x480.png;16;3;0.017390
../test_images/720x480.png;16;4;0.016187
../test_images/720x480.png;16;5;0.017208
../test_images/1024x768.png;16;1;0.037303
../test_images/1024x768.png;16;2;0.040813
../test_images/1024x768.png;16;3;0.034570
../test_images/1024x768.png;16;4;0.034177
../test_images/1024x768.png;16;5;0.033784
../test_images/1920x1200.png;16;1;0.073652
../test_images/1920x1200.png;16;2;0.070000
../test_images/1920x1200.png;16;3;0.075835
../test_images/1920x1200.png;16;4;0.077108
../test_images/1920x1200.png;16;5;0.076625
../test_images/3840x2160.png;16;1;0.253384
../test_images/3840x2160.png;16;2;0.242470
../test_images/3840x2160.png;16;3;0.242656
../test_images/3840x2160.png;16;4;0.250305
../test_images/3840x2160.png;16;5;0.245163
../test_images/7680x4320.png;16;1;0.801125
../test_images/7680x4320.png;16;2;0.821753
../test_images/7680x4320.png;16;3;0.819477
../test_images/7680x4320.png;16;4;0.821408
../test_images/7680x4320.png;16;5;0.852361
