slika;niti;zagon;cas_s
valve.png;8;1;0.019355
valve.png;8;2;0.019297
valve.png;8;3;0.018302
valve.png;8;4;0.019465
valve.png;8;5;0.017937
../test_images/720x480.png;8;1;0.021262
../test_images/720x480.png;8;2;0.022557
../test_images/720x480.png;8;3;0.022693
../test_images/720x480.png;8;4;0.023124
../test_images/720x480.png;8;5;0.021232
../test_images/1024x768.png;8;1;0.048723
../test_images/1024x768.png;8;2;0.045689
../test_images/1024x768.png;8;3;0.049176
../test_images/1024x768.png;8;4;0.049004
../test_images/1024x768.png;8;5;0.048601
../test_images/1920x1200.png;8;1;0.121154
../test_images/1920x1200.png;8;2;0.116361
../test_images/1920x1200.png;8;3;0.113074
../test_images/1920x1200.png;8;4;0.118515
../test_images/1920x1200.png;8;5;0.115762
../test_images/3840x2160.png;8;1;0.393356
../test_images/3840x2160.png;8;2;0.398021
../test_images/3840x2160.png;8;3;0.405783
../test_images/3840x2160.png;8;4;0.433214
../test_images/3840x2160.png;8;5;0.404399
../test_images/7680x4320.png;8;1;1.385923
../test_images/7680x4320.png;8;2;1.393872
../test_images/7680x4320.png;8;3;1.401644
../test_images/7680x4320.png;8;4;1.387293
../test_images/7680x4320.png;8;5;1.390665
