slika;niti;zagon;cas_s
valve.png;1;1;0.072248
valve.png;1;2;0.072258
valve.png;1;3;0.071964
valve.png;1;4;0.072670
valve.png;1;5;0.072135
../test_images/720x480.png;1;1;0.095042
../test_images/720x480.png;1;2;0.095064
../test_images/720x480.png;1;3;0.095393
../test_images/720x480.png;1;4;0.095151
../test_images/720x480.png;1;5;0.095018
../test_images/1024x768.png;1;1;0.213034
../test_images/1024x768.png;1;2;0.212601
../test_images/1024x768.png;1;3;0.213136
../test_images/1024x768.png;1;4;0.212041
../test_images/1024x768.png;1;5;0.212988
../test_images/1920x1200.png;1;1;0.672309
../test_images/1920x1200.png;1;2;0.671114
../test_images/1920x1200.png;1;3;0.673582
../test_images/1920x1200.png;1;4;0.673440
../test_images/1920x1200.png;1;5;0.674687
../test_images/3840x2160.png;1;1;2.496408
../test_images/3840x2160.png;1;2;2.494077
../test_images/3840x2160.png;1;3;2.496040
../test_images/3840x2160.png;1;4;2.492015
../test_images/3840x2160.png;1;5;2.496517
../test_images/7680x4320.png;1;1;9.823434
../test_images/7680x4320.png;1;2;9.858013
../test_images/7680x4320.png;1;3;9.817387
../test_images/7680x4320.png;1;4;9.824951
../test_images/7680x4320.png;1;5;9.824606
