slika;niti;zagon;cas_s
valve.png;32;1;0.011962
valve.png;32;2;0.012119
valve.png;32;3;0.012011
valve.png;32;4;0.012195
valve.png;32;5;0.011260
../test_images/720x480.png;32;1;0.013169
../test_images/720x480.png;32;2;0.013163
../test_images/720x480.png;32;3;0.013138
../test_images/720x480.png;32;4;0.012997
../test_images/720x480.png;32;5;0.013036
../test_images/1024x768.png;32;1;0.028110
../test_images/1024x768.png;32;2;0.027449
../test_images/1024x768.png;32;3;0.027115
../test_images/1024x768.png;32;4;0.026634
../test_images/1024x768.png;32;5;0.028330
../test_images/1920x1200.png;32;1;0.063692
../test_images/1920x1200.png;32;2;0.067204
../test_images/1920x1200.png;32;3;0.053058
../test_images/1920x1200.png;32;4;0.051547
../test_images/1920x1200.png;32;5;0.067157
../test_images/3840x2160.png;32;1;0.166406
../test_images/3840x2160.png;32;2;0.193047
../test_images/3840x2160.png;32;3;0.169373
../test_images/3840x2160.png;32;4;0.168840
../test_images/3840x2160.png;32;5;0.168660
../test_images/7680x4320.png;32;1;0.556241
../test_images/7680x4320.png;32;2;0.565525
../test_images/7680x4320.png;32;3;0.557330
../test_images/7680x4320.png;32;4;0.551075
../test_images/7680x4320.png;32;5;0.581388
