slika;niti;zagon;cas_s
valve.png;4;1;0.027469
valve.png;4;2;0.027998
valve.png;4;3;0.026659
valve.png;4;4;0.028311
valve.png;4;5;0.026780
../test_images/720x480.png;4;1;0.034702
../test_images/720x480.png;4;2;0.035863
../test_images/720x480.png;4;3;0.034097
../test_images/720x480.png;4;4;0.033342
../test_images/720x480.png;4;5;0.035502
../test_images/1024x768.png;4;1;0.073720
../test_images/1024x768.png;4;2;0.077100
../test_images/1024x768.png;4;3;0.075271
../test_images/1024x768.png;4;4;0.073520
../test_images/1024x768.png;4;5;0.074774
../test_images/1920x1200.png;4;1;0.205112
../test_images/1920x1200.png;4;2;0.204451
../test_images/1920x1200.png;4;3;0.204012
../test_images/1920x1200.png;4;4;0.205036
../test_images/1920x1200.png;4;5;0.206044
../test_images/3840x2160.png;4;1;0.684092
../test_images/3840x2160.png;4;2;0.684971
../test_images/3840x2160.png;4;3;0.681523
../test_images/3840x2160.png;4;4;0.681116
../test_images/3840x2160.png;4;5;0.689432
../test_images/7680x4320.png;4;1;2.619159
../test_images/7680x4320.png;4;2;2.603125
../test_images/7680x4320.png;4;3;2.645784
../test_images/7680x4320.png;4;4;2.607713
../test_images/7680x4320.png;4;5;2.616184
